GAME_ID,Date,Start (ET),Visitor/Neutral,Visitor_PTS,Home/Neutral,Home_PTS,Notes
1,"Tue, Oct 25, 2016",7:30 PM,New York Knicks,88,Cleveland Cavaliers,117,
2,"Tue, Oct 25, 2016",10:30 PM,San Antonio Spurs,129,Golden State Warriors,100,
3,"Tue, Oct 25, 2016",10:00 PM,Utah Jazz,104,Portland Trail Blazers,113,
4,"Wed, Oct 26, 2016",7:30 PM,Brooklyn Nets,117,Boston Celtics,122,
5,"Wed, Oct 26, 2016",7:00 PM,Dallas Mavericks,121,Indiana Pacers,130,OT
6,"Wed, Oct 26, 2016",10:30 PM,Houston Rockets,114,Los Angeles Lakers,120,
7,"Wed, Oct 26, 2016",8:00 PM,Minnesota Timberwolves,98,Memphis Grizzlies,102,
8,"Wed, Oct 26, 2016",8:00 PM,Charlotte Hornets,107,Milwaukee Bucks,96,
9,"Wed, Oct 26, 2016",8:00 PM,Denver Nuggets,107,New Orleans Pelicans,102,
10,"Wed, Oct 26, 2016",7:00 PM,Miami Heat,108,Orlando Magic,96,
11,"Wed, Oct 26, 2016",8:00 PM,Oklahoma City Thunder,103,Philadelphia 76ers,97,
12,"Wed, Oct 26, 2016",10:00 PM,Sacramento Kings,113,Phoenix Suns,94,
13,"Wed, Oct 26, 2016",7:30 PM,Detroit Pistons,91,Toronto Raptors,109,
14,"Thu, Oct 27, 2016",7:30 PM,Washington Wizards,99,Atlanta Hawks,114,
15,"Thu, Oct 27, 2016",8:00 PM,Boston Celtics,99,Chicago Bulls,105,
16,"Thu, Oct 27, 2016",10:30 PM,Los Angeles Clippers,114,Portland Trail Blazers,106,
17,"Thu, Oct 27, 2016",10:30 PM,San Antonio Spurs,102,Sacramento Kings,94,
18,"Fri, Oct 28, 2016",7:30 PM,Indiana Pacers,94,Brooklyn Nets,103,
19,"Fri, Oct 28, 2016",8:30 PM,Houston Rockets,106,Dallas Mavericks,98,
20,"Fri, Oct 28, 2016",7:30 PM,Orlando Magic,82,Detroit Pistons,108,
21,"Fri, Oct 28, 2016",8:00 PM,Charlotte Hornets,97,Miami Heat,91,
22,"Fri, Oct 28, 2016",9:30 PM,Golden State Warriors,122,New Orleans Pelicans,114,
23,"Fri, Oct 28, 2016",8:00 PM,Phoenix Suns,110,Oklahoma City Thunder,113,OT
24,"Fri, Oct 28, 2016",7:00 PM,Cleveland Cavaliers,94,Toronto Raptors,91,
25,"Fri, Oct 28, 2016",9:00 PM,Los Angeles Lakers,89,Utah Jazz,96,
26,"Sat, Oct 29, 2016",8:00 PM,Indiana Pacers,101,Chicago Bulls,118,
27,"Sat, Oct 29, 2016",7:00 PM,Boston Celtics,104,Charlotte Hornets,98,
28,"Sat, Oct 29, 2016",7:30 PM,Orlando Magic,99,Cleveland Cavaliers,105,
29,"Sat, Oct 29, 2016",9:00 PM,Portland Trail Blazers,115,Denver Nuggets,113,OT
30,"Sat, Oct 29, 2016",8:00 PM,Brooklyn Nets,108,Milwaukee Bucks,110,
31,"Sat, Oct 29, 2016",7:30 PM,Memphis Grizzlies,104,New York Knicks,111,
32,"Sat, Oct 29, 2016",12:30 PM,Atlanta Hawks,104,Philadelphia 76ers,72,
33,"Sat, Oct 29, 2016",10:30 PM,Minnesota Timberwolves,103,Sacramento Kings,106,
34,"Sat, Oct 29, 2016",8:00 PM,New Orleans Pelicans,79,San Antonio Spurs,98,
35,"Sun, Oct 30, 2016",6:00 PM,Milwaukee Bucks,83,Detroit Pistons,98,
36,"Sun, Oct 30, 2016",8:00 PM,Dallas Mavericks,92,Houston Rockets,93,
37,"Sun, Oct 30, 2016",4:30 PM,Utah Jazz,75,Los Angeles Clippers,88,
38,"Sun, Oct 30, 2016",8:00 PM,Washington Wizards,103,Memphis Grizzlies,112,OT
39,"Sun, Oct 30, 2016",6:00 PM,San Antonio Spurs,106,Miami Heat,99,
40,"Sun, Oct 30, 2016",7:00 PM,Los Angeles Lakers,96,Oklahoma City Thunder,113,
41,"Sun, Oct 30, 2016",6:00 PM,Golden State Warriors,106,Phoenix Suns,100,
42,"Mon, Oct 31, 2016",7:30 PM,Sacramento Kings,95,Atlanta Hawks,106,
43,"Mon, Oct 31, 2016",7:30 PM,Chicago Bulls,118,Brooklyn Nets,88,
44,"Mon, Oct 31, 2016",10:30 PM,Phoenix Suns,98,Los Angeles Clippers,116,
45,"Mon, Oct 31, 2016",7:30 PM,Denver Nuggets,102,Toronto Raptors,105,
46,"Tue, Nov 1, 2016",6:00 PM,Houston Rockets,120,Cleveland Cavaliers,128,
47,"Tue, Nov 1, 2016",7:30 PM,New York Knicks,89,Detroit Pistons,102,
48,"Tue, Nov 1, 2016",7:00 PM,Los Angeles Lakers,108,Indiana Pacers,115,
49,"Tue, Nov 1, 2016",7:30 PM,Sacramento Kings,96,Miami Heat,108,OT
50,"Tue, Nov 1, 2016",8:00 PM,Memphis Grizzlies,80,Minnesota Timberwolves,116,
51,"Tue, Nov 1, 2016",8:00 PM,Milwaukee Bucks,117,New Orleans Pelicans,113,
52,"Tue, Nov 1, 2016",7:00 PM,Orlando Magic,103,Philadelphia 76ers,101,
53,"Tue, Nov 1, 2016",10:00 PM,Golden State Warriors,127,Portland Trail Blazers,104,
54,"Tue, Nov 1, 2016",8:30 PM,Utah Jazz,106,San Antonio Spurs,91,
55,"Wed, Nov 2, 2016",7:30 PM,Los Angeles Lakers,123,Atlanta Hawks,116,
56,"Wed, Nov 2, 2016",8:00 PM,Chicago Bulls,100,Boston Celtics,107,
57,"Wed, Nov 2, 2016",7:30 PM,Detroit Pistons,101,Brooklyn Nets,109,
58,"Wed, Nov 2, 2016",7:00 PM,Philadelphia 76ers,93,Charlotte Hornets,109,
59,"Wed, Nov 2, 2016",10:30 PM,Oklahoma City Thunder,85,Los Angeles Clippers,83,
60,"Wed, Nov 2, 2016",8:00 PM,New Orleans Pelicans,83,Memphis Grizzlies,89,OT
61,"Wed, Nov 2, 2016",7:30 PM,Houston Rockets,118,New York Knicks,99,
62,"Wed, Nov 2, 2016",10:00 PM,Portland Trail Blazers,115,Phoenix Suns,118,OT
63,"Wed, Nov 2, 2016",9:00 PM,Dallas Mavericks,81,Utah Jazz,97,
64,"Wed, Nov 2, 2016",7:00 PM,Toronto Raptors,113,Washington Wizards,103,
65,"Thu, Nov 3, 2016",8:00 PM,Boston Celtics,122,Cleveland Cavaliers,128,
66,"Thu, Nov 3, 2016",10:30 PM,Oklahoma City Thunder,96,Golden State Warriors,122,
67,"Thu, Nov 3, 2016",8:00 PM,Indiana Pacers,107,Milwaukee Bucks,125,
