TEAM_ID,COACH_ID,COACH_NAME,START_DATE,BIRTHDAY
1610612737,1,Mike Budenholzer,"May 28, 2013","August 6, 1969"
1610612738,2,Brad Stevens,"July 3, 2013","October 22, 1976"
1610612751,3,Kenny Atkinson,"April 17, 2016"," June 2, 1967"
1610612766,4,Steve Clifford,"May 29, 2013","September 17, 1961"
1610612741,5,Fred Hoiberg,"June 2, 2015","October 15, 1972"
1610612739,6,Tyronn Lue,"January 22, 2016","May 3, 1977"
1610612742,7,Rick Carlisle,"May 9, 2008","October 27, 1959"
1610612743,8,Michael Malone,"June 15, 2015","June, 1, 1971"
1610612765,9,Stan Van Gundy,"May 14, 2014","August 26, 1959"
1610612744,10,Steve Kerr,"May 19, 2014","September 27, 1965"
1610612745,11,Mike D'Antoni,"June 1, 2016 ","May 8, 1951"
1610612754,12,Nate McMillan,"May 16, 2016","August 3, 1964"
1610612746,13,Doc Rivers,"June 25, 2013","October 13, 1961"
1610612747,14,Luke Walton,"April 29, 2016","March 28, 1980"
1610612763,15,David Fizdale,"May 29, 2016","June 16, 1974"
1610612748,16,Erik Spoelstra,"April 28, 2008","November 1, 1970"
1610612749,17,Jason Kidd,"July 1, 2014","March 23, 1973"
1610612750,18,Tom Thibodeau,"April 20, 2016","January 17, 1958"
1610612740,19,Alvin Gentry,"May 30, 2015","November 5, 1954"
1610612752,20,Jeff Hornacek,"June 2, 2016","May 3, 1963"
1610612760,21,Billy Donovan,"April 30, 2015","May 30, 1965"
1610612753,22,Frank Vogel,"May 20, 2016","June 21, 1973"
1610612755,23,Brett Brown,"August 14, 2013","February 16, 1961"
1610612756,24,Jay Triano,"October 22, 2017","September 21, 1958"
1610612757,25,Terry Stotts,"August 7, 2012","November 25, 1957"
1610612758,26,Dave Joerger,"May 9, 2016","February 21, 1974"
1610612759,27,Gregg Popovich,"December 10, 1996","January 28, 1949"
1610612761,28,Dwane Casey,"June 21, 2011","April 17, 1957"
1610612762,29,Quin Snyder,"June 6, 2014","October 30, 1966"
1610612764,30,Scott Brooks,"April 26, 2016","July 31, 1965"
