GAME_ID,Date,Start (ET),Visitor_ID,Visitor_PTS,Home_ID,Home_PTS,Notes
1,"Tue, Oct 25, 2016",7:30 PM,1610612752,88,1610612739,117,
2,"Tue, Oct 25, 2016",10:30 PM,1610612759,129,1610612744,100,
3,"Tue, Oct 25, 2016",10:00 PM,1610612762,104,1610612757,113,
4,"Wed, Oct 26, 2016",7:30 PM,1610612751,117,1610612738,122,
5,"Wed, Oct 26, 2016",7:00 PM,1610612742,121,1610612754,130,OT
6,"Wed, Oct 26, 2016",10:30 PM,1610612745,114,1610612747,120,
7,"Wed, Oct 26, 2016",8:00 PM,1610612750,98,1610612763,102,
8,"Wed, Oct 26, 2016",8:00 PM,1610612766,107,1610612749,96,
9,"Wed, Oct 26, 2016",8:00 PM,1610612743,107,1610612740,102,
10,"Wed, Oct 26, 2016",7:00 PM,1610612748,108,1610612753,96,
11,"Wed, Oct 26, 2016",8:00 PM,1610612760,103,1610612755,97,
12,"Wed, Oct 26, 2016",10:00 PM,1610612758,113,1610612756,94,
13,"Wed, Oct 26, 2016",7:30 PM,1610612765,91,1610612761,109,
14,"Thu, Oct 27, 2016",7:30 PM,1610612764,99,1610612737,114,
15,"Thu, Oct 27, 2016",8:00 PM,1610612738,99,1610612741,105,
17,"Thu, Oct 27, 2016",10:30 PM,1610612759,102,1610612758,94,
18,"Fri, Oct 28, 2016",7:30 PM,1610612754,94,1610612751,103,
19,"Fri, Oct 28, 2016",8:30 PM,1610612745,106,1610612742,98,
20,"Fri, Oct 28, 2016",7:30 PM,1610612753,82,1610612765,108,
21,"Fri, Oct 28, 2016",8:00 PM,1610612766,97,1610612748,91,
22,"Fri, Oct 28, 2016",9:30 PM,1610612744,122,1610612740,114,
23,"Fri, Oct 28, 2016",8:00 PM,1610612756,110,1610612760,113,OT
24,"Fri, Oct 28, 2016",7:00 PM,1610612739,94,1610612761,91,
25,"Fri, Oct 28, 2016",9:00 PM,1610612747,89,1610612762,96,
26,"Sat, Oct 29, 2016",8:00 PM,1610612754,101,1610612741,118,
27,"Sat, Oct 29, 2016",7:00 PM,1610612738,104,1610612766,98,
28,"Sat, Oct 29, 2016",7:30 PM,1610612753,99,1610612739,105,
29,"Sat, Oct 29, 2016",9:00 PM,1610612757,115,1610612743,113,OT
30,"Sat, Oct 29, 2016",8:00 PM,1610612751,108,1610612749,110,
31,"Sat, Oct 29, 2016",7:30 PM,1610612763,104,1610612752,111,
32,"Sat, Oct 29, 2016",12:30 PM,1610612737,104,1610612755,72,
33,"Sat, Oct 29, 2016",10:30 PM,1610612750,103,1610612758,106,
34,"Sat, Oct 29, 2016",8:00 PM,1610612740,79,1610612759,98,
35,"Sun, Oct 30, 2016",6:00 PM,1610612749,83,1610612765,98,
36,"Sun, Oct 30, 2016",8:00 PM,1610612742,92,1610612745,93,
38,"Sun, Oct 30, 2016",8:00 PM,1610612764,103,1610612763,112,OT
39,"Sun, Oct 30, 2016",6:00 PM,1610612759,106,1610612748,99,
40,"Sun, Oct 30, 2016",7:00 PM,1610612747,96,1610612760,113,
41,"Sun, Oct 30, 2016",6:00 PM,1610612744,106,1610612756,100,
42,"Mon, Oct 31, 2016",7:30 PM,1610612758,95,1610612737,106,
43,"Mon, Oct 31, 2016",7:30 PM,1610612741,118,1610612751,88,
45,"Mon, Oct 31, 2016",7:30 PM,1610612743,102,1610612761,105,
46,"Tue, Nov 1, 2016",6:00 PM,1610612745,120,1610612739,128,
47,"Tue, Nov 1, 2016",7:30 PM,1610612752,89,1610612765,102,
48,"Tue, Nov 1, 2016",7:00 PM,1610612747,108,1610612754,115,
49,"Tue, Nov 1, 2016",7:30 PM,1610612758,96,1610612748,108,OT
50,"Tue, Nov 1, 2016",8:00 PM,1610612763,80,1610612750,116,
51,"Tue, Nov 1, 2016",8:00 PM,1610612749,117,1610612740,113,
52,"Tue, Nov 1, 2016",7:00 PM,1610612753,103,1610612755,101,
53,"Tue, Nov 1, 2016",10:00 PM,1610612744,127,1610612757,104,
54,"Tue, Nov 1, 2016",8:30 PM,1610612762,106,1610612759,91,
55,"Wed, Nov 2, 2016",7:30 PM,1610612747,123,1610612737,116,
56,"Wed, Nov 2, 2016",8:00 PM,1610612741,100,1610612738,107,
57,"Wed, Nov 2, 2016",7:30 PM,1610612765,101,1610612751,109,
58,"Wed, Nov 2, 2016",7:00 PM,1610612755,93,1610612766,109,
