personId,TEAM_ID,firstName,lastName,weightPounds,heightFeet,heightInches,pos,jersey,playerUrl
203518,1610612760,Alex,Abrines,190,6,6,G,8,/players/alex/abrines/203518
203112,1610612751,Quincy,Acy,240,6,7,F,13,/players/quincy/acy/203112
203500,1610612760,Steven,Adams,255,7,0,C,12,/players/steven/adams/203500
1628389,1610612748,Bam,Adebayo,255,6,10,C-F,13,/players/bam/adebayo/1628389
201167,1610612753,Arron,Afflalo,210,6,5,G,4,/players/arron/afflalo/201167
201582,1610612740,Alexis,Ajinca,248,7,2,C,42,/players/alexis/ajinca/201582
202332,1610612750,Cole,Aldrich,253,6,11,C,45,/players/cole/aldrich/202332
200746,1610612759,LaMarcus,Aldridge,260,6,11,F,12,/players/lamarcus/aldridge/200746
1628386,1610612751,Jarrett,Allen,234,6,11,C,31,/players/jarrett/allen/1628386
1628443,1610612738,Kadeem,Allen,200,6,3,G,45,/players/kadeem/allen/1628443
2754,1610612740,Tony,Allen,213,6,4,G-F,24,/players/tony/allen/2754
202329,1610612757,Al-Farouq,Aminu,220,6,9,F,8,/players/al-farouq/aminu/202329
1626147,1610612755,Justin,Anderson,230,6,6,G-F,1,/players/justin/anderson/1626147
203937,1610612759,Kyle,Anderson,230,6,9,F,1,/players/kyle/anderson/203937
201583,1610612745,Ryan,Anderson,240,6,10,F,33,/players/ryan/anderson/201583
1628387,1610612754,Ike,Anigbogu,262,6,10,C,13,/players/ike/anigbogu/1628387
203507,1610612749,Giannis,Antetokounmpo,222,6,11,F,34,/players/giannis/antetokounmpo/203507
2546,1610612760,Carmelo,Anthony,240,6,8,F,7,/players/carmelo/anthony/2546
1628384,1610612761,OG,Anunoby,235,6,8,F,3,/players/og/anunoby/1628384
1627853,1610612741,Ryan,Arcidiacono,195,6,3,G,15,/players/ryan/arcidiacono/1627853
2772,1610612745,Trevor,Ariza,215,6,8,F-G,1,/players/trevor/ariza/2772
201589,1610612743,Darrell,Arthur,235,6,9,F,0,/players/darrell/arthur/201589
1628503,1610612753,Jamel,Artis,213,6,7,G,0,/players/jamel/artis/1628503
201600,1610612740,Omer,Asik,255,7,0,C,3,/players/omer/asik/201600
201571,1610612753,D.J.,Augustin,183,6,0,G,14,/players/d.j./augustin/201571
202337,1610612737,Luke,Babbitt,225,6,9,F,8,/players/luke/babbitt/202337
1628407,1610612766,Dwayne,Bacon,221,6,7,F,7,/players/dwayne/bacon/1628407
1627758,1610612752,Ron,Baker,220,6,4,G,31,/players/ron/baker/1627758
1627735,1610612757,Wade,Baldwin IV,202,6,4,G,2,/players/wade/baldwin_iv/1627735
1628366,1610612747,Lonzo,Ball,190,6,6,G,2,/players/lonzo/ball/1628366
200826,1610612742,J.J.,Barea,185,6,0,G,5,/players/j.j./barea/200826
203084,1610612742,Harrison,Barnes,225,6,8,F,40,/players/harrison/barnes/203084
203115,1610612743,Will,Barton,190,6,6,G-F,5,/players/will/barton/203115
201587,1610612766,Nicolas,Batum,200,6,8,G-F,5,/players/nicolas/batum/201587
201573,1610612755,Jerryd,Bayless,200,6,3,G,0,/players/jerryd/bayless/201573
203382,1610612738,Aron,Baynes,260,6,10,C,46,/players/aron/baynes/203382
203145,1610612737,Kent,Bazemore,201,6,5,G,24,/players/kent/bazemore/203145
203078,1610612764,Bradley,Beal,207,6,5,G,3,/players/bradley/beal/203078
1627736,1610612743,Malik,Beasley,196,6,5,G,25,/players/malik/beasley/1627736
201563,1610612752,Michael,Beasley,235,6,9,F,8,/players/michael/beasley/201563
201158,1610612737,Marco,Belinelli,210,6,5,G-F,3,/players/marco/belinelli/201158
1628395,1610612744,Jordan,Bell,224,6,9,F,2,/players/jordan/bell/1628395
1627761,1610612737,DeAndre',Bembry,210,6,6,F-G,95,/players/deandre'/bembry/1627761
1627733,1610612756,Dragan,Bender,225,7,1,F,35,/players/dragan/bender/1627733
202722,1610612759,Davis,Bertans,210,6,10,F,42,/players/davis/bertans/202722
201976,1610612746,Patrick,Beverley,185,6,1,G,21,/players/patrick/beverley/201976
203920,1610612753,Khem,Birch,220,6,9,C,24,/players/khem/birch/203920
1628444,1610612738,Jabari,Bird,198,6,6,G,26,/players/jabari/bird/1628444
202687,1610612753,Bismack,Biyombo,255,6,9,C,11,/players/bismack/biyombo/202687
202357,1610612750,Nemanja,Bjelica,230,6,10,F,8,/players/nemanja/bjelica/202357
204028,1610612745,Tarik,Black,250,6,9,F-C,28,/players/tarik/black/204028
1628469,1610612741,Antonio,Blakeney,197,6,4,G,9,/players/antonio/blakeney/1628469
202339,1610612749,Eric,Bledsoe,205,6,1,G,6,/players/eric/bledsoe/202339
203505,1610612747,Vander,Blue,200,6,5,G,17,/players/vander/blue/203505
203992,1610612758,Bogdan,Bogdanovic,205,6,6,G,8,/players/bogdan/bogdanovic/203992
202711,1610612754,Bojan,Bogdanovic,230,6,8,F,44,/players/bojan/bogdanovic/202711
101106,1610612747,Andrew,Bogut,260,7,0,C,66,/players/andrew/bogut/101106
1627762,1610612749,Joel,Bolomboy,235,6,9,F-C,24,/players/joel/bolomboy/1627762
1626164,1610612756,Devin,Booker,210,6,6,G,1,/players/devin/booker/1626164
202344,1610612751,Trevor,Booker,228,6,8,F,35,/players/trevor/booker/202344
1628449,1610612744,Chris,Boucher,200,6,10,F,25,/players/chris/boucher/1628449
202340,1610612765,Avery,Bradley,180,6,2,G,22,/players/avery/bradley/202340
1628396,1610612762,Tony,Bradley,248,6,10,C,13,/players/tony/bradley/1628396
201147,1610612747,Corey,Brewer,186,6,9,F,3,/players/corey/brewer/201147
1627763,1610612749,Malcolm,Brogdon,215,6,5,G,13,/players/malcolm/brogdon/1627763
201166,1610612750,Aaron,Brooks,161,6,0,G,30,/players/aaron/brooks/201166
1628415,1610612763,Dillon,Brooks,220,6,6,F-G,24,/players/dillon/brooks/1628415
1626148,1610612750,Anthony,Brown,224,6,7,F,3,/players/anthony/brown/1626148
201628,1610612745,Bobby,Brown,175,6,2,G,6,/players/bobby/brown/201628
1627759,1610612738,Jaylen,Brown,225,6,7,G-F,7,/players/jaylen/brown/1627759
203485,1610612761,Lorenzo,Brown,189,6,5,G,4,/players/lorenzo/brown/203485
1628425,1610612749,Sterling,Brown,230,6,6,G,23,/players/sterling/brown/1628425
1627852,1610612737,Nicolas,Brussino,195,6,8,F,16,/players/nicolas/brussino/1627852
1628418,1610612747,Thomas,Bryant,248,6,10,C,31,/players/thomas/bryant/1628418
203493,1610612765,Reggie,Bullock,205,6,7,F,25,/players/reggie/bullock/203493
202692,1610612762,Alec,Burks,214,6,6,G,10,/players/alec/burks/202692
202710,1610612750,Jimmy,Butler,236,6,8,G,23,/players/jimmy/butler/202710
202779,1610612765,Dwight,Buycks,190,6,3,G,20,/players/dwight/buycks/202779
203998,1610612761,Bruno,Caboclo,205,6,9,F,5,/players/bruno/caboclo/203998
101181,1610612739,Jose,Calderon,200,6,3,G,81,/players/jose/calderon/101181
203484,1610612747,Kentavious,Caldwell-Pope,205,6,5,G,1,/players/kentavious/caldwell-pope/203484
203991,1610612745,Clint,Capela,240,6,10,C,15,/players/clint/capela/203991
201960,1610612751,DeMarre,Carroll,215,6,8,F,9,/players/demarre/carroll/201960
203487,1610612766,Michael,Carter-Williams,190,6,6,G,10,/players/michael/carter-williams/203487
1713,1610612758,Vince,Carter,220,6,6,G-F,15,/players/vince/carter/1713
1627936,1610612747,Alex,Caruso,186,6,5,G,4,/players/alex/caruso/1627936
201956,1610612744,Omri,Casspi,225,6,9,F,18,/players/omri/casspi/201956
1626161,1610612758,Willie,Cauley-Stein,240,7,0,C,0,/players/willie/cauley-stein/1626161
1628463,1610612737,Tyler,Cavanaugh,238,6,9,F,34,/players/tyler/cavanaugh/1628463
201596,1610612763,Mario,Chalmers,190,6,2,G,6,/players/mario/chalmers/201596
2199,1610612756,Tyson,Chandler,240,7,1,C,4,/players/tyson/chandler/2199
