PLAYER_ID,RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
201566,1,Russell Westbrook,OKC,81,34.6,10.2,24,0.425,2.5,7.2,0.343,8.8,10.4,0.845,1.7,9,10.7,10.4,1.63,0.38,5.41,31.6,33.8
201935,2,James Harden,HOU,81,36.4,8.3,18.9,0.44,3.2,9.3,0.347,9.2,10.9,0.847,1.2,7,8.1,11.2,1.49,0.47,5.73,29.1,32.4
202738,3,Isaiah Thomas,BOS,76,33.8,9,19.4,0.463,3.2,8.5,0.379,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.92,0.17,2.76,28.9,24.7
203076,4,Anthony Davis,NOP,75,36.1,10.3,20.3,0.505,0.5,1.8,0.299,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.25,2.23,2.41,28,31.1
201942,5,DeMar DeRozan,TOR,74,35.4,9.7,20.9,0.467,0.4,1.7,0.266,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.05,0.18,2.43,27.3,22.7
203081,6,Damian Lillard,POR,75,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.91,0.27,2.63,27,24.5
202326,7,DeMarcus Cousins,NOP,72,34.2,9,19.9,0.452,1.8,5,0.361,7.2,9.3,0.772,2.1,8.9,11,4.6,1.39,1.29,3.74,27,28.5
2544,8,LeBron James,CLE,74,37.8,9.9,18.2,0.548,1.7,4.6,0.363,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.24,0.59,4.09,26.4,31
202695,9,Kawhi Leonard,SAS,74,33.6,8.6,17.7,0.485,2,5.2,0.38,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.74,2.08,25.5,25.3
201939,10,Stephen Curry,GSW,79,33.4,8.5,18.3,0.468,4.1,10,0.411,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.22,3.03,25.3,25.2
202681,11,Kyrie Irving,CLE,72,35.1,9.3,19.7,0.473,2.5,6.1,0.401,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.15,0.33,2.5,25.2,22.4
1626157,12,Karl-Anthony Towns,MIN,82,37,9.8,18,0.542,1.2,3.4,0.367,4.3,5.2,0.832,3.6,8.7,12.3,2.7,0.68,1.26,2.59,25.1,30.3
201142,13,Kevin Durant,GSW,62,33.4,8.9,16.5,0.537,1.9,5,0.375,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.06,1.6,2.23,25.1,30.2
202710,14,Jimmy Butler,CHI,76,37,7.5,16.5,0.455,1.2,3.3,0.367,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.88,0.42,2.09,23.9,25.6
202331,15,Paul George,IND,75,35.9,8.3,18,0.461,2.6,6.6,0.393,4.5,5,0.898,0.8,5.8,6.6,3.3,1.59,0.36,2.93,23.7,22.4
203952,16,Andrew Wiggins,MIN,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,5,6.6,0.76,1.2,2.8,4,2.3,1,0.37,2.28,23.6,16.9
202689,17,Kemba Walker,CHA,79,34.7,8.1,18.3,0.444,3,7.6,0.399,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.08,0.28,2.13,23.2,20.9
202322,18,John Wall,WAS,78,36.4,8.3,18.4,0.451,1.1,3.5,0.327,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2.01,0.63,4.13,23.1,25
203078,19,Bradley Beal,WAS,77,34.9,8.3,17.2,0.482,2.9,7.2,0.404,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.08,0.27,2.03,23.1,19.3
203468,20,CJ McCollum,POR,80,35,8.7,18,0.48,2.3,5.5,0.421,3.4,3.7,0.912,0.8,2.9,3.6,3.6,0.9,0.53,2.15,23,19.7
203507,21,Giannis Antetokounmpo,MIL,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,5.9,7.7,0.77,1.8,7,8.8,5.4,1.64,1.89,2.93,22.9,28.4
2546,22,Carmelo Anthony,NYK,74,34.3,8.1,18.8,0.433,2,5.7,0.359,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.81,0.46,2.07,22.4,19
200768,23,Kyle Lowry,TOR,60,37.4,7.1,15.3,0.464,3.2,7.8,0.412,5,6.1,0.819,0.8,4,4.8,7,1.47,0.32,2.88,22.4,23.7
202691,24,Klay Thompson,GSW,78,34,8.3,17.6,0.468,3.4,8.3,0.414,2.4,2.8,0.853,0.6,3,3.7,2.1,0.85,0.51,1.64,22.3,18
1626164,25,Devin Booker,PHX,78,35,7.8,18.3,0.423,1.9,5.2,0.363,4.7,5.7,0.832,0.6,2.6,3.2,3.4,0.92,0.27,3.09,22.1,15.3
202330,26,Gordon Hayward,UTA,73,34.5,7.5,15.8,0.471,2,5.1,0.398,5,5.9,0.844,0.7,4.7,5.4,3.5,1,0.27,1.92,21.9,20.8
201933,27,Blake Griffin,LAC,61,34,7.9,15.9,0.493,0.6,1.9,0.336,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.93,0.36,2.33,21.6,23.9
